number,title,difficulty,tags,question,code
,Binary Tree Level Order Traversal,Medium,Trees,"Binary Tree Level Order Traversal
Solved 
Given a binary tree root, return the level order traversal of it as a nested list, where each sublist contains the values of nodes at a particular level in the tree, from left to right.

Example 1:



Input: root = [1,2,3,4,5,6,7]

Output: [[1],[2,3],[4,5,6,7]]
Example 2:

Input: root = [1]

Output: [[1]]
Example 3:

Input: root = []

Output: []
Constraints:

0 <= The number of nodes in the tree <= 1000.
-1000 <= Node.val <= 1000","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution:
    def levelOrder(self, root: Optional[TreeNode]) -> List[List[int]]:
        if root is None:
            return []

        result = []
        q = [root]

        while q:
            level_size = len(q)
            level = []
            for i in range(level_size):
                curr = q.pop(0)
                level.append(curr.val)
                if curr.left:
                    q.append(curr.left)
                if curr.right:
                    q.append(curr.right)
            result.append(level[:])
        
        return result

        "
,Binary Tree Right Side View,Medium,Trees,"Binary Tree Right Side View
Solved 
You are given the root of a binary tree. Return only the values of the nodes that are visible from the right side of the tree, ordered from top to bottom.

Example 1:



Input: root = [1,2,3]

Output: [1,3]
Example 2:



Input: root = [1,2,3,4,5,6,7]

Output: [1,3,7]
Constraints:

0 <= number of nodes in the tree <= 100
-100 <= Node.val <= 100","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution:
    def rightSideView(self, root: Optional[TreeNode]) -> List[int]:
        if root is None:
            return []
        
        q = [root]
        result = []

        while q:
            level_size = len(q)
            result.append(q[-1].val)

            for i in range(level_size):
                curr = q.pop(0)

                if curr.left:
                    q.append(curr.left)
                
                if curr.right:
                    q.append(curr.right)
            
        return result

         
         "
,Construct Quad Tree,Medium,Trees,"Construct Quad Tree
Solved
Medium
Topics
premium lock icon
Companies
Given a n * n matrix grid of 0's and 1's only. We want to represent grid with a Quad-Tree.

Return the root of the Quad-Tree representing grid.

A Quad-Tree is a tree data structure in which each internal node has exactly four children. Besides, each node has two attributes:

val: True if the node represents a grid of 1's or False if the node represents a grid of 0's. Notice that you can assign the val to True or False when isLeaf is False, and both are accepted in the answer.
isLeaf: True if the node is a leaf node on the tree or False if the node has four children.
class Node {
    public boolean val;
    public boolean isLeaf;
    public Node topLeft;
    public Node topRight;
    public Node bottomLeft;
    public Node bottomRight;
}
We can construct a Quad-Tree from a two-dimensional area using the following steps:

If the current grid has the same value (i.e all 1's or all 0's) set isLeaf True and set val to the value of the grid and set the four children to Null and stop.
If the current grid has different values, set isLeaf to False and set val to any value and divide the current grid into four sub-grids as shown in the photo.
Recurse for each of the children with the proper sub-grid.

If you want to know more about the Quad-Tree, you can refer to the wiki.

Quad-Tree format:

You don't need to read this section for solving the problem. This is only if you want to understand the output format here. The output represents the serialized format of a Quad-Tree using level order traversal, where null signifies a path terminator where no node exists below.

It is very similar to the serialization of the binary tree. The only difference is that the node is represented as a list [isLeaf, val].

If the value of isLeaf or val is True we represent it as 1 in the list [isLeaf, val] and if the value of isLeaf or val is False we represent it as 0.

 

Example 1:


Input: grid = [[0,1],[1,0]]
Output: [[0,1],[1,0],[1,1],[1,1],[1,0]]
Explanation: The explanation of this example is shown below:
Notice that 0 represents False and 1 represents True in the photo representing the Quad-Tree.

Example 2:



Input: grid = [[1,1,1,1,0,0,0,0],[1,1,1,1,0,0,0,0],[1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1],[1,1,1,1,0,0,0,0],[1,1,1,1,0,0,0,0],[1,1,1,1,0,0,0,0],[1,1,1,1,0,0,0,0]]
Output: [[0,1],[1,1],[0,1],[1,1],[1,0],null,null,null,null,[1,0],[1,0],[1,1],[1,1]]
Explanation: All values in the grid are not the same. We divide the grid into four sub-grids.
The topLeft, bottomLeft and bottomRight each has the same value.
The topRight have different values so we divide it into 4 sub-grids where each has the same value.
Explanation is shown in the photo below:

 

Constraints:

n == grid.length == grid[i].length
n == 2x where 0 <= x <= 6","""""""
# Definition for a QuadTree node.
class Node:
    def __init__(self, val, isLeaf, topLeft, topRight, bottomLeft, bottomRight):
        self.val = val
        self.isLeaf = isLeaf
        self.topLeft = topLeft
        self.topRight = topRight
        self.bottomLeft = bottomLeft
        self.bottomRight = bottomRight
""""""

class Solution:
    def construct(self, grid: List[List[int]]) -> 'Node':
        def helper(row_origin, col_origin, side_len):
            val = grid[row_origin][col_origin]

            if is_single_value(row_origin, col_origin, side_len):
                return Node(val = val, isLeaf = True)
            
            root = Node(val = 0, isLeaf = False)
            tl, tr, bl, br = get_new_origin_points(row_origin, col_origin, side_len)

            root.topLeft = helper(tl[0], tl[1], side_len//2)
            root.topRight = helper(tr[0], tr[1], side_len//2)
            root.bottomLeft = helper(bl[0], bl[1], side_len//2)
            root.bottomRight = helper(br[0], br[1], side_len//2)

            return root
                
        
        def is_single_value(row_origin, col_origin, side_len):
            count = 0
            for i in range(row_origin, row_origin + side_len):
                for j in range(col_origin, col_origin + side_len):
                    count += grid[i][j]

            return True if (count == 0) or (count == side_len**2) else False

        def get_new_origin_points(row_origin, col_origin, side_len):
            half_side_len = side_len // 2

            top_left = (row_origin, col_origin)
            top_right = (row_origin, col_origin + half_side_len)
            bottom_left = (row_origin + half_side_len, col_origin)
            bottom_right = (row_origin + half_side_len, col_origin + half_side_len)
            return  (top_left, top_right, bottom_left, bottom_right)
        
        return helper(0, 0, len(grid))"
,Count Good Nodes in Binary Tree,Medium,Trees,"Count Good Nodes in Binary Tree
Solved 
Within a binary tree, a node x is considered good if the path from the root of the tree to the node x contains no nodes with a value greater than the value of node x

Given the root of a binary tree root, return the number of good nodes within the tree.

Example 1:



Input: root = [2,1,1,3,null,1,5]

Output: 3


Example 2:

Input: root = [1,2,-1,3,4]

Output: 4
Constraints:

1 <= number of nodes in the tree <= 100
-100 <= Node.val <= 100","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution:
    def goodNodes(self, root: TreeNode) -> int:

        def dfs_helper(root, max_val):
            if root is None:
                return 0

            max_val = max(max_val, root.val)

            l = dfs_helper(root.left, max_val)
            r = dfs_helper(root.right, max_val)


            if root.val >= max_val:
                return l + r + 1
            return l + r
        
        return dfs_helper(root, root.val) 


            #    2
            # n     4
            #    10    8
            #         4"
,Valid Binary Search Tree,Medium,Trees,"Valid Binary Search Tree
Solved 
Given the root of a binary tree, return true if it is a valid binary search tree, otherwise return false.

A valid binary search tree satisfies the following constraints:

The left subtree of every node contains only nodes with keys less than the node's key.
The right subtree of every node contains only nodes with keys greater than the node's key.
Both the left and right subtrees are also binary search trees.
Example 1:



Input: root = [2,1,3]

Output: true
Example 2:



Input: root = [1,2,3]

Output: false
Explanation: The root node's value is 1 but its left child's value is 2 which is greater than 1.

Constraints:

1 <= The number of nodes in the tree <= 1000.
-1000 <= Node.val <= 1000","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution:
    def isValidBST(self, root: Optional[TreeNode]) -> bool:

        def dfs_search(root, left, right):
            if root is None:
                return True
            if root.val <= left or root.val >= right:
                return False
            
            l = dfs_search(root.left, left, root.val)
            r = dfs_search(root.right, root.val, right)

            return l and r
        
        return dfs_search(root, -100000, 100000)

            

        "
,Kth Smallest Integer in BST,Medium,Trees,"Kth Smallest Integer in BST
Solved 
Given the root of a binary search tree, and an integer k, return the kth smallest value (1-indexed) in the tree.

A binary search tree satisfies the following constraints:

The left subtree of every node contains only nodes with keys less than the node's key.
The right subtree of every node contains only nodes with keys greater than the node's key.
Both the left and right subtrees are also binary search trees.
Example 1:



Input: root = [2,1,3], k = 1

Output: 1
Example 2:



Input: root = [4,3,5,2,null], k = 4

Output: 5
Constraints:

1 <= k <= The number of nodes in the tree <= 1000.
0 <= Node.val <= 1000","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution:
    def kthSmallest(self, root: Optional[TreeNode], k: int) -> int:
        self.count = 0
        self.res = -100000

        def dfs_search(root, k):
            if root is None:
                return 
            
            l = dfs_search(root.left, k)
            self.count += 1
            if self.count == k and self.res == -100000:
                self.res = root.val
            r = dfs_search(root.right, k)
        
        dfs_search(root, k)
        return self.res
        "
,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Trees,"Construct Binary Tree from Preorder and Inorder Traversal
Solved 
You are given two integer arrays preorder and inorder.

preorder is the preorder traversal of a binary tree
inorder is the inorder traversal of the same tree
Both arrays are of the same size and consist of unique values.
Rebuild the binary tree from the preorder and inorder traversals and return its root.

Example 1:



Input: preorder = [1,2,3,4], inorder = [2,1,3,4]

Output: [1,2,3,null,null,null,4]
Example 2:

Input: preorder = [1], inorder = [1]

Output: [1]
Constraints:

1 <= inorder.length <= 1000.
inorder.length == preorder.length
-1000 <= preorder[i], inorder[i] <= 1000","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution:
    def buildTree(self, preorder: List[int], inorder: List[int]) -> Optional[TreeNode]:
        self.preorder_idx = 0
        
        def dfs_build(preorder, inorder):
            if inorder == [] or self.preorder_idx >= len(preorder):
                return None
            
            preorder_val = preorder[self.preorder_idx]
            inorder_idx = inorder.index(preorder_val) if preorder_val in inorder else None
            if inorder_idx is None:
                return None

            root = TreeNode(preorder_val)
            left_subtree = inorder[:inorder_idx]
            right_subtree = inorder[inorder_idx+1:]
            self.preorder_idx += 1
            root.left = dfs_build( preorder, left_subtree)
            root.right = dfs_build(preorder, right_subtree)

            return root
        
        return dfs_build(preorder, inorder)
        "
,House Robber III,Medium,Trees,"House Robber III
Solved
Medium
Topics
premium lock icon
Companies
The thief has found himself a new place for his thievery again. There is only one entrance to this area, called root.

Besides the root, each house has one and only one parent house. After a tour, the smart thief realized that all houses in this place form a binary tree. It will automatically contact the police if two directly-linked houses were broken into on the same night.

Given the root of the binary tree, return the maximum amount of money the thief can rob without alerting the police.

 

Example 1:


Input: root = [3,2,3,null,3,null,1]
Output: 7
Explanation: Maximum amount of money the thief can rob = 3 + 3 + 1 = 7.
Example 2:


Input: root = [3,4,5,1,3,null,1]
Output: 9
Explanation: Maximum amount of money the thief can rob = 4 + 5 = 9.
 

Constraints:

The number of nodes in the tree is in the range [1, 104].
0 <= Node.val <= 104","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right
class Solution:
    def rob(self, root: Optional[TreeNode]) -> int:
        memo = {}
        def rec(node, if_can_steal):
            if node is None:
                return 0
            if (node, if_can_steal) in memo:
                return memo[(node, if_can_steal)]
            
            #take node if possible

            right_path = rec(node.right, True)
            left_path = rec(node.left, True)
            if if_can_steal == True:
                steal_right_path = rec(node.right, False)
                steal_left_path = rec(node.left, False)

                memo[(node, if_can_steal)] = max(right_path + left_path, steal_left_path + steal_right_path + node.val)

                return memo[(node, if_can_steal)]
            
            memo[(node, if_can_steal)] = left_path + right_path

            return memo[(node, if_can_steal)]
            # do not take node
        return rec(root, True)"
,Delete Leaves With a Given Value,Medium,Trees,"Delete Leaves With a Given Value
Solved
Medium
Topics
premium lock icon
Companies
Hint
Given a binary tree root and an integer target, delete all the leaf nodes with value target.

Note that once you delete a leaf node with value target, if its parent node becomes a leaf node and has the value target, it should also be deleted (you need to continue doing that until you cannot).

 

Example 1:



Input: root = [1,2,3,2,null,2,4], target = 2
Output: [1,null,3,null,4]
Explanation: Leaf nodes in green with value (target = 2) are removed (Picture in left). 
After removing, new nodes become leaf nodes with value (target = 2) (Picture in center).
Example 2:



Input: root = [1,3,3,3,2], target = 3
Output: [1,3,null,null,2]
Example 3:



Input: root = [1,2,null,2,null,2], target = 2
Output: [1]
Explanation: Leaf nodes in green with value (target = 2) are removed at each step.
 

Constraints:

The number of nodes in the tree is in the range [1, 3000].
1 <= Node.val, target <= 1000","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right
class Solution:
    def removeLeafNodes(self, root: Optional[TreeNode], target: int) -> Optional[TreeNode]:
        def rec(node, val):
            if node is None:
                return None
            
            
            node.left = rec(node.left, val)
            node.right = rec(node.right, val)

            if node.val == val and node.left is None and node.right is None:
                return None

            return node
        
        return rec(root, target)"
,Binary Tree Maximum Path Sum,Hard,Trees,"Binary Tree Maximum Path Sum
Solved 
Given the root of a non-empty binary tree, return the maximum path sum of any non-empty path.

A path in a binary tree is a sequence of nodes where each pair of adjacent nodes has an edge connecting them. A node can not appear in the sequence more than once. The path does not necessarily need to include the root.

The path sum of a path is the sum of the node's values in the path.

Example 1:



Input: root = [1,2,3]

Output: 6
Explanation: The path is 2 -> 1 -> 3 with a sum of 2 + 1 + 3 = 6.

Example 2:



Input: root = [-15,10,20,null,null,15,5,-5]

Output: 40
Explanation: The path is 15 -> 20 -> 5 with a sum of 15 + 20 + 5 = 40.

Constraints:

1 <= The number of nodes in the tree <= 1000.
-1000 <= Node.val <= 1000","# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution:
    def maxPathSum(self, root: Optional[TreeNode]) -> int:
        self.res = -1000000
        
        def dfs_max_sum(root):
            if root is None:
                return 0
            
            l = dfs_max_sum(root.left)
            r = dfs_max_sum(root.right)

            self.res = max(self.res, l+r+root.val, root.val + max(l, r, 0))

            return root.val + max(l, r, 0)
        
        dfs_max_sum(root)
        return self.res
        "
,Kth Largest Element in a Stream,Easy,Heap / Priority Queue,"Kth Largest Element in a Stream
Solved 
Design a class to find the kth largest integer in a stream of values, including duplicates. E.g. the 2nd largest from [1, 2, 3, 3] is 3. The stream is not necessarily sorted.

Implement the following methods:

constructor(int k, int[] nums) Initializes the object given an integer k and the stream of integers nums.
int add(int val) Adds the integer val to the stream and returns the kth largest integer in the stream.
Example 1:

Input:
[""KthLargest"", [3, [1, 2, 3, 3]], ""add"", [3], ""add"", [5], ""add"", [6], ""add"", [7], ""add"", [8]]

Output:
[null, 3, 3, 3, 5, 6]

Explanation:
KthLargest kthLargest = new KthLargest(3, [1, 2, 3, 3]);
kthLargest.add(3);   // return 3
kthLargest.add(5);   // return 3
kthLargest.add(6);   // return 3
kthLargest.add(7);   // return 5
kthLargest.add(8);   // return 6
Constraints:

1 <= k <= 1000
0 <= nums.length <= 1000
-1000 <= nums[i] <= 1000
-1000 <= val <= 1000
There will always be at least k integers in the stream when you search for the kth integer.","import heapq as hq 

class KthLargest:

    def __init__(self, k: int, nums: List[int]):
        self.k = k
        self.nums = nums
        self.pq = []
        for num in nums:
            hq.heappush(self.pq, num)
        
        while len(self.pq) > self.k:
            hq.heappop(self.pq)
        

    def add(self, val: int) -> int:
        hq.heappush(self.pq, val)
        if len(self.pq) > self.k:
            hq.heappop(self.pq)
        return self.pq[0]"
,Last Stone Weight,Easy,Heap / Priority Queue,"Last Stone Weight
Solved 
You are given an array of integers stones where stones[i] represents the weight of the ith stone.

We want to run a simulation on the stones as follows:

At each step we choose the two heaviest stones, with weight x and y and smash them togethers
If x == y, both stones are destroyed
If x < y, the stone of weight x is destroyed, and the stone of weight y has new weight y - x.
Continue the simulation until there is no more than one stone remaining.

Return the weight of the last remaining stone or return 0 if none remain.

Example 1:

Input: stones = [2,3,6,2,4]

Output: 1
Explanation:
We smash 6 and 4 and are left with a 2, so the array becomes [2,3,2,2].
We smash 3 and 2 and are left with a 1, so the array becomes [1,2,2].
We smash 2 and 2, so the array becomes [1].

Example 2:

Input: stones = [1,2]

Output: 1
Constraints:

1 <= stones.length <= 20
1 <= stones[i] <= 100","import heapq as hq
# class Solution:
#     def lastStoneWeight(self, stones: List[int]) -> int:
#         if len(stones) == 0:
#             return 0
#         elif len(stones) == 1:
#             return stones[0]
#         hq._heapify_max(stones)
#         pq = stones
#         print(f""pq: {pq}"")

#         while len(pq) > 1:
#             x = hq._heappop_max(pq)
#             y = hq._heappop_max(pq)

#             print(f""x: {x}, y: {y}"")

#             val = abs(y-x)
#             if val == 0:
#                 continue
#             hq.heappush(pq, val)
#             hq._heapify_max(pq) 
#         return pq[0] if len(pq) > 0 else 0
            
class Solution:
    def lastStoneWeight(self, stones: List[int]) -> int:
        stones = [-s for s in stones]
        heapq.heapify(stones)

        while len(stones) > 1:
            first = heapq.heappop(stones)
            second = heapq.heappop(stones)
            if second > first:
                heapq.heappush(stones, first - second)

        stones.append(0)
        return abs(stones[0])"
,K Closest Points to Origin,Easy,Heap / Priority Queue,"K Closest Points to Origin
Solved 
You are given an 2-D array points where points[i] = [xi, yi] represents the coordinates of a point on an X-Y axis plane. You are also given an integer k.

Return the k closest points to the origin (0, 0).

The distance between two points is defined as the Euclidean distance (sqrt((x1 - x2)^2 + (y1 - y2)^2)).

You may return the answer in any order.

Example 1:



Input: points = [[0,2],[2,2]], k = 1

Output: [[0,2]]
Explanation : The distance between (0, 2) and the origin (0, 0) is 2. The distance between (2, 2) and the origin is sqrt(2^2 + 2^2) = 2.82842. So the closest point to the origin is (0, 2).

Example 2:

Input: points = [[0,2],[2,0],[2,2]], k = 2

Output: [[0,2],[2,0]]
Explanation: The output [2,0],[0,2] would also be accepted.

Constraints:

1 <= k <= points.length <= 1000
-100 <= points[i][0], points[i][1] <= 100","import heapq as hq
class Solution:
    def kClosest(self, points: List[List[int]], k: int) -> List[List[int]]:
        
        def euclidian_distance(point_1):
            return ((point_1[0] - 0)**2 + (point_1[1] - 0)**2)**(1/2)
        
        pq = []

        for point in points:
            hq.heappush(pq, (euclidian_distance(point), point))
        
        ans = []
        for i in range(k):
            dis, point = hq.heappop(pq)
            ans.append(point)
        return ans"
,Kth Largest Element in an Array,Medium,Heap / Priority Queue,"Kth Largest Element in an Array
Solved 
Given an unsorted array of integers nums and an integer k, return the kth largest element in the array.

By kth largest element, we mean the kth largest element in the sorted order, not the kth distinct element.

Follow-up: Can you solve it without sorting?

Example 1:

Input: nums = [2,3,1,5,4], k = 2

Output: 4
Example 2:

Input: nums = [2,3,1,1,5,5,4], k = 3

Output: 4
Constraints:

1 <= k <= nums.length <= 10000
-1000 <= nums[i] <= 1000","import heapq as hq
class Solution:
    def findKthLargest(self, nums: List[int], k: int) -> int:
        
        hq.heapify(nums)
        pq = nums

        while len(pq) > k:
            hq.heappop(pq)
        
        return hq.heappop(pq)"
,Task Scheduler,Medium,Heap / Priority Queue,"Task Scheduler
Solved 
You are given an array of CPU tasks tasks, where tasks[i] is an uppercase english character from A to Z. You are also given an integer n.

Each CPU cycle allows the completion of a single task, and tasks may be completed in any order.

The only constraint is that identical tasks must be separated by at least n CPU cycles, to cooldown the CPU.

Return the minimum number of CPU cycles required to complete all tasks.

Example 1:

Input: tasks = [""X"",""X"",""Y"",""Y""], n = 2

Output: 5
Explanation: A possible sequence is: X -> Y -> idle -> X -> Y.

Example 2:

Input: tasks = [""A"",""A"",""A"",""B"",""C""], n = 3

Output: 9
Explanation: A possible sequence is: A -> B -> C -> Idle -> A -> Idle -> Idle -> Idle -> A.

Constraints:

1 <= tasks.length <= 1000
0 <= n <= 100","import heapq as hq

class Solution:
    def leastInterval(self, tasks: List[str], n: int) -> int:
        queue = []
        h = []

        time = 0

        dic = defaultdict(int)
        for task in tasks:
            dic[task] += 1
        
        count = list(dic.values())
        count.sort(reverse=True)

        for c in count:
            hq.heappush(h, (-c, time))
        
        
        while h != [] or queue != []:
            # print(f""start: h: {h}, queue: {queue}"")
            if h != []:
                task_remaining, time_task_should_finish = hq.heappop(h)

                if time >= time_task_should_finish:
                    new_task_remaining = task_remaining+1
                    if new_task_remaining < 0:

                        queue.append((new_task_remaining, time+n+1))
            
            

            time += 1
            if queue != [] and queue[0][1] == time:
                hq.heappush(h, queue.pop(0))
            # print(f""end: h: {h}, queue: {queue}"")
        
        return time"
,Design Twitter,Medium,Heap / Priority Queue,"Design Twitter
Solved 
Implement a simplified version of Twitter which allows users to post tweets, follow/unfollow each other, and view the 10 most recent tweets within their own news feed.

Users and tweets are uniquely identified by their IDs (integers).

Implement the following methods:

Twitter() Initializes the twitter object.
void postTweet(int userId, int tweetId) Publish a new tweet with ID tweetId by the user userId. You may assume that each tweetId is unique.
List<Integer> getNewsFeed(int userId) Fetches at most the 10 most recent tweet IDs in the user's news feed. Each item must be posted by users who the user is following or by the user themself. Tweets IDs should be ordered from most recent to least recent.
void follow(int followerId, int followeeId) The user with ID followerId follows the user with ID followeeId.
void unfollow(int followerId, int followeeId) The user with ID followerId unfollows the user with ID followeeId.
Example 1:

Input:
[""Twitter"", ""postTweet"", [1, 10], ""postTweet"", [2, 20], ""getNewsFeed"", [1], ""getNewsFeed"", [2], ""follow"", [1, 2], ""getNewsFeed"", [1], ""getNewsFeed"", [2], ""unfollow"", [1, 2], ""getNewsFeed"", [1]]

Output:
[null, null, null, [10], [20], null, [20, 10], [20], null, [10]]

Explanation:
Twitter twitter = new Twitter();
twitter.postTweet(1, 10); // User 1 posts a new tweet with id = 10.
twitter.postTweet(2, 20); // User 2 posts a new tweet with id = 20.
twitter.getNewsFeed(1);   // User 1's news feed should only contain their own tweets -> [10].
twitter.getNewsFeed(2);   // User 2's news feed should only contain their own tweets -> [20].
twitter.follow(1, 2);     // User 1 follows user 2.
twitter.getNewsFeed(1);   // User 1's news feed should contain both tweets from user 1 and user 2 -> [20, 10].
twitter.getNewsFeed(2);   // User 2's news feed should still only contain their own tweets -> [20].
twitter.unfollow(1, 2);   // User 1 follows user 2.
twitter.getNewsFeed(1);   // User 1's news feed should only contain their own tweets -> [10].
Constraints:

1 <= userId, followerId, followeeId <= 100
0 <= tweetId <= 1000","import heapq as hq
class Twitter:

    def __init__(self):
        self.count = 0
        self.tweetsMap = defaultdict(list)
        self.followMap = defaultdict(set)
        

    def postTweet(self, userId: int, tweetId: int) -> None:
        self.tweetsMap[userId].append((self.count, tweetId))
        self.count -= 1
        

    def getNewsFeed(self, userId: int) -> List[int]:
        pq = []
        print(f""self.followMap[userId]: {self.followMap[userId]}"")
        self.followMap[userId].add(userId)
        for followee in self.followMap[userId]:
            print(f""self.tweetsMap[followee]: {self.tweetsMap[followee]}"")
            tweet_count = 0
            for i in range(len(self.tweetsMap[followee])-1,-1,-1):
                print(f""adding tqeet to pq"")
                if tweet_count >= 10:
                    print(f""broke out"")
                    break
                print(f""adding tqeet to pq: {self.tweetsMap[followee][i]}"")
                hq.heappush(pq, self.tweetsMap[followee][i])
                tweet_count += 1
        
        print(f""pq: {pq}"")
        pop_count = 0
        res = []
        while len(pq) > 0 and pop_count < 10:
            print(f""in while res: {res}"")
            val = hq.heappop(pq)
            print(f""val: {val}"")
            res.append(val[1])
            pop_count += 1
        print(f""out while res: {res}"")
        return res

    # def getNewsFeed(self, userId: int) -> List[int]:
    #     res = []
    #     minHeap = []

    #     self.followMap[userId].add(userId)
    #     for followeeId in self.followMap[userId]:
    #         if followeeId in self.tweetsMap:
    #             index = len(self.tweetsMap[followeeId]) - 1
    #             count, tweetId = self.tweetsMap[followeeId][index]
    #             heapq.heappush(minHeap, [count, tweetId, followeeId, index - 1])

    #     while minHeap and len(res) < 10:
    #         count, tweetId, followeeId, index = heapq.heappop(minHeap)
    #         res.append(tweetId)
    #         if index >= 0:
    #             count, tweetId = self.tweetsMap[followeeId][index]
    #             heapq.heappush(minHeap, [count, tweetId, followeeId, index - 1])
    #     return res

    def follow(self, followerId: int, followeeId: int) -> None:
        self.followMap[followerId].add(followeeId)
        

    def unfollow(self, followerId: int, followeeId: int) -> None:
        if followeeId in self.followMap[followerId]:
            self.followMap[followerId].remove(followeeId)"
